NaN,0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5
0.25,0,0,0,0,0.4,0.6,0.8,1,1.1,1.1,1,0.8,0.7,0.6,0.5,0.4,0.3,0.3,0.2,0.2,0
0.75,0,0,0,0,3.2,5.3,7.4,9.1,9.8,9.5,8.6,7.4,6.2,5.1,4.1,3.4,2.8,2.3,1.9,1.6,0
1.25,0,0,0,0,9,14.8,20.5,25,26.8,25.9,23.3,20,16.8,13.8,11.3,9.2,7.6,6.3,5.2,4.3,0
1.75,0,0,0,0,17.6,28.9,39.9,48.3,51.6,49.7,44.7,38.4,32.2,26.5,21.7,17.8,14.6,12.1,10,8.4,0
2.25,0,0,0,0,29,47.5,65.4,78.8,83.8,80.6,72.4,62.3,52.2,43,35.3,28.9,23.8,19.7,16.3,13.7,0
2.75,0,0,0,0,43.2,70.7,97,116.3,123.1,118.1,106.1,91.3,76.5,63.2,51.9,42.5,35,28.9,24.1,20.1,0
3.25,0,0,0,0,60.2,98.3,134.5,160.5,169.3,162.1,145.5,125.2,105,86.8,71.3,58.5,48.2,39.9,33.2,27.8,0
3.75,0,0,0,0,79.9,130.4,177.8,211.2,222,212.2,190.4,164,137.6,113.8,93.6,76.9,63.3,52.5,43.7,36.6,0
4.25,0,0,0,0,102.4,166.7,226.7,268.3,281.1,268.2,240.5,207.2,174.1,144.1,118.5,97.4,80.3,66.6,55.5,46.5,0
4.75,0,0,0,0,127.6,207.4,281.2,286,286,286,286,255,214.3,177.5,146.1,120.2,99.2,82.2,68.6,57.6,0
5.25,0,0,0,0,155.4,252.4,286,286,286,286,286,286,258.2,214,176.3,145.1,119.8,99.4,83,69.7,0
5.75,0,0,0,0,186,286,286,286,286,286,286,286,286,253.6,209,172.2,142.2,118.1,98.6,82.8,0
6.25,0,0,0,0,219.2,286,286,286,286,286,286,286,286,286,244.2,201.2,166.4,138.2,115.5,97.1,0
6.75,0,0,0,0,255,286,286,286,286,286,286,286,286,286,281.9,232.4,192.2,159.7,133.5,112.3,0
7.25,0,0,0,0,286,286,286,286,286,286,286,286,286,286,286,265.6,219.8,182.8,152.9,128.7,0
7.75,0,0,0,0,286,286,286,286,286,286,286,286,286,286,286,286,249,207.2,173.4,146,0
8.25,0,0,0,0,286,286,286,286,286,286,286,286,286,286,286,286,279.9,233,195.1,164.4,0
8.75,0,0,0,0,286,286,286,286,286,286,286,286,286,286,286,286,286,260.2,218,183.8,0
9.25,0,0,0,0,286,286,286,286,286,286,286,286,286,286,286,286,286,286,242.1,204.1,0
9.75,0,0,0,0,286,286,286,286,286,286,286,286,286,286,286,286,286,286,267.4,225.6,0